id,url,created_date,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,DVD_release_date,list_of_genres,abridged_list_of_cast,abridged_list_of_directors
24a0691e-0e03-46b9-8ba5-1fd3dedd9b14,https://www.rottentomatoes.com/m/the_sadness_2021,2022-06-21 17:21:19.814801,90%,66%,1h 39m,,,,"May 12, 2022",Horror,"Regina Lei, Tzu-Chiang Wang, Berant Zhu, Ying-Ru Chen, Wei-Hua Lan, Lue-Keng Huang",Rob Jabbaz
2e148145-9e08-4826-a2a6-dd8647e68d1d,https://www.rottentomatoes.com/m/the_requin,2022-06-21 17:21:19.855345,23%,7%,1h 29m,R (Language|Some Grisly Images),Saban Films,"Jan 28, 2022 limited","Jan 28, 2022",Adventure,"Alicia Silverstone, James Tupper, Deirdre O'Connell, Danny Chung, Jennifer Mudge, Kameron Hood",Le-Van Kiet
11b6b207-102e-4443-aed7-d4235dac45f7,https://www.rottentomatoes.com/m/hatching,2022-06-21 17:21:21.476878,92%,61%,1h 27m,,IFC Midnight,"Apr 29, 2022 limited","May 17, 2022",Horror,"Siiri Solalinna, Sophia Heikkilä, Jani Volanen, Oiva Ollila, Reino Nordin, Saija Lentonen",Hanna Bergholm
dc91840b-852d-46ae-b395-7c08377ef275,https://www.rottentomatoes.com/m/american_psycho,2022-06-21 17:21:21.501160,69%,85%,1h 43m,R (Language|Drug Use|Strong Violence),Lionsgate Films,"Apr 14, 2000 wide","Jun 21, 2005",Horror,"Christian Bale, Willem Dafoe, Jared Leto, Reese Witherspoon, Samantha Mathis, Chloë Sevigny",Mary Harron
e438d5e7-10fc-4c6d-87ca-0edfbab4dc3d,https://www.rottentomatoes.com/m/sonic_the_hedgehog_2020,2022-06-21 17:21:21.522252,63%,93%,1h 40m,PG (Brief Mild Language|Action|Rude Humor|Some Violence),Paramount Pictures,"Feb 14, 2020 wide","Mar 31, 2020","Comedy, Adventure, Fantasy","James Marsden, Jim Carrey, Ben Schwartz, Tika Sumpter, Natasha Rothwell, Adam Pally",Jeff Fowler
93475301-9b0b-480b-898a-c99ef195c5a7,https://www.rottentomatoes.com/m/the_night_house,2022-06-21 17:21:21.545464,87%,69%,1h 50m,R (Some Sexual References|Language|Some Violence/Disturbing Image),Searchlight Pictures,"Aug 20, 2021 wide","Oct 5, 2021",Horror,"Rebecca Hall, Sarah Goldberg, Vondie Curtis Hall, Evan Jonigkeit, Stacy Martin, David Abeles",David Bruckner
d0c33482-dd70-4a2f-840f-ecf7c79afac2,https://www.rottentomatoes.com/m/a_quiet_place_part_ii,2022-06-21 17:21:21.566493,91%,92%,1h 37m,PG-13 (Terror|Bloody/Disturbing Images|Violence),Paramount Pictures,"May 28, 2021 wide","Jul 13, 2021",Horror,"Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe, Djimon Hounsou, John Krasinski",John Krasinski
872b7ae2-f7ff-44cb-8c58-374bb238ce2b,https://www.rottentomatoes.com/m/bohemian_rhapsody,2022-06-21 17:21:21.604899,60%,85%,2h 15m,PG-13 (Language|Drug Content|Suggestive Material|Thematic Elements),20th Century Fox,"Nov 2, 2018 wide","Jan 22, 2019","Biography, Music, Lgbtq+","Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy, Joseph Mazzello, Aidan Gillen",Bryan Singer
bc971495-084e-437b-96d9-7d78e9384e53,https://www.rottentomatoes.com/m/the_harder_they_fall,2022-06-21 17:21:21.700032,88%,93%,2h 17m,R (Strong Violence and Language),Netflix,"Oct 22, 2021 limited","Nov 3, 2021","Western, Drama","Jonathan Majors, Zazie Beetz, Delroy Lindo, LaKeith Stanfield, Danielle Deadwyler, Edi Gathegi",Jeymes Samuel
5e4e8282-6eff-416a-9a09-3659282f610f,https://www.rottentomatoes.com/m/skin_a_history_of_nudity_in_the_movies,2022-06-21 17:21:21.832368,85%,71%,2h 10m,,,,"Aug 18, 2020",Documentary,"Amy Heckerling, Danny Wolf",Danny Wolf
f645cc41-a5ad-45c4-87b0-3279ffce6f0b,https://www.rottentomatoes.com/m/the_suicide_squad,2022-06-21 17:21:21.857904,90%,82%,2h 12m,R (Drug Use|Brief Graphic Nudity|Language Throughout|Some Sexual References|Strong Violence and Gore),Warner Bros. Pictures,"Aug 6, 2021 wide","Aug 6, 2021","Action, Adventure, Comedy","Margot Robbie, Idris Elba, John Cena, Viola Davis, Sylvester Stallone, Joel Kinnaman",James Gunn
82025d12-dff5-44f9-af05-d6fa4dc2ba05,https://www.rottentomatoes.com/m/the_kings_man,2022-06-21 17:21:21.879663,41%,80%,2h 11m,R (Some Sexual Material|Language|Strong/Bloody Violence),20th Century Studios,"Dec 22, 2021 wide","Feb 18, 2022","Action, Adventure","Ralph Fiennes, Harris Dickinson, Rhys Ifans, Djimon Hounsou, Gemma Arterton, Matthew Goode",Matthew Vaughn
98fc1f13-9648-4f24-b18c-cef74e87be58,https://www.rottentomatoes.com/m/knives_out,2022-06-21 17:21:21.921489,97%,92%,2h 10m,PG-13 (Drug Material|Brief Violence|Sexual References|Some Strong Language|Thematic Elements),Lionsgate Films,"Nov 27, 2019 wide","Jun 12, 2020","Crime, Comedy, Drama, Mystery & thriller","Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Toni Collette, Don Johnson",Rian Johnson
33ed83ae-6577-452b-bc4a-a4593e8eebda,https://www.rottentomatoes.com/m/his_house,2022-06-21 17:21:21.944935,100%,74%,1h 33m,,,,"Oct 30, 2020",Horror,"Wunmi Mosaku, Sope Dirisu, Matt Smith, Cornell John, Emily Taaffe, Bradley Banton",Remi Weekes
ada1020d-5abd-44f7-990e-70402866b3ad,https://www.rottentomatoes.com/m/toy_story_2,2022-06-21 17:21:22.073860,100%,87%,1h 32m,G,Walt Disney Pictures,"Nov 24, 1999 wide","Mar 23, 2010","Comedy, Adventure, Fantasy","Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles, Jim Varney","Ash Brannon , John Lasseter , Lee Unkrich"
986e62b1-b230-4188-83b6-faab3f214c4f,https://www.rottentomatoes.com/m/star_wars_episode_i_the_phantom_menace,2022-06-21 17:21:22.107702,51%,59%,2h 13m,PG (Sci-Fi Violence|Sci-Fi Action),20th Century Fox,"May 19, 1999 wide","Mar 22, 2005","Adventure, Action, Fantasy","Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd, Pernilla August, Frank Oz",George Lucas
041b06be-2bd1-42a7-bb82-944f0b9d79ce,https://www.rottentomatoes.com/m/red_notice,2022-06-21 17:21:22.211616,36%,92%,1h 57m,PG-13 (Strong Language|Some Sexual References|Violence and Action),Netflix,"Nov 5, 2021 limited","Nov 12, 2021","Action, Comedy","Dwayne Johnson, Ryan Reynolds, Gal Gadot, Ritu Arya, Chris Diamantopoulos, Ivan Mbakop",Rawson Marshall Thurber
17142cae-5afb-4c42-88f6-031b6d6f8179,https://www.rottentomatoes.com/m/blade_runner_2049,2022-06-21 17:21:22.258060,88%,81%,2h 44m,R (Nudity|Language|Some Sexuality|Violence),Warner Bros. Pictures,"Oct 6, 2017 wide","Jan 16, 2018","Mystery & thriller, Sci-fi","Ryan Gosling, Harrison Ford, Ana de Armas, Sylvia Hoeks, Robin Wright, Jared Leto",Denis Villeneuve
981d8832-0ef8-45e6-9276-b64b95293f1f,https://www.rottentomatoes.com/m/toy_story_3,2022-06-21 17:21:22.288017,98%,90%,1h 42m,G,Walt Disney,"Jun 18, 2010 wide","Nov 2, 2010","Comedy, Adventure, Fantasy","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton",Lee Unkrich
