year,actor,character,film,win
2019,Leonardo DiCaprio,Rick Dalton,Once Upon a Time in Hollywood,False
2019,Eddie Murphy,Rudy Ray Moore,Dolemite Is My Name,False
2020,Sacha Baron Cohen,Borat Sagdiyev,Borat Subsequent Moviefilm,True
2020,James Corden,Barry Glickman,The Prom,False
2020,Lin-Manuel Miranda,Alexander Hamilton,Hamilton,False
2020,Dev Patel,David Copperfield,The Personal History of David Copperfield,False
2020,Andy Samberg,Nyles,Palm Springs,False
2021,Andrew Garfield,Jonathan Larson,"Tick, Tick... Boom!",True
2021,Leonardo DiCaprio,Randall Mindy,Don't Look Up,False
2021,Peter Dinklage,Cyrano de Bergerac,Cyrano,False
2021,Cooper Hoffman,Gary Valentine,Licorice Pizza,False
2021,Anthony Ramos,Usnavi de la Vega,In the Heights,False
